"id","product","review","category"
"1107","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1108","Sprinkler System","Average system","water pressure could be better."""""
"1109","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1110","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1111","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1112","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1113","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1114","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1115","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1116","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1117","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1118","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1119","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1120","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1121","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1122","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1123","Sprinkler System","Average system","water pressure could be better."""""
"1124","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1125","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1126","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1127","Sprinkler System","Average system","water pressure could be better."""""
"1128","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1129","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1130","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1131","Sprinkler System","Average system","water pressure could be better."""""
"1132","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1133","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1134","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1135","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1136","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1137","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1138","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1139","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1140","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1141","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1142","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1143","Sprinkler System","Average system","water pressure could be better."""""
"1144","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1145","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1146","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1147","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1148","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1149","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1150","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1151","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1152","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1153","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1154","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1155","Compost Manure","Terrible quality manure","waste of money."""""
"1156","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1157","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1158","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1159","Sprinkler System","Average system","water pressure could be better."""""
"1160","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1161","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1162","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1163","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1164","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1165","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1166","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1167","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1168","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1169","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1170","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1171","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1172","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1173","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1174","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1175","Sprinkler System","Average system","water pressure could be better."""""
"1176","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1177","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1178","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1179","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1180","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1181","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1182","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1183","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1184","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1185","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1186","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1187","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1188","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1189","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1190","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1191","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1192","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1193","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1194","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1195","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1196","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1197","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1198","Compost Manure","Terrible quality manure","waste of money."""""
"1199","Sprinkler System","Average system","water pressure could be better."""""
"1200","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1201","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1202","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1203","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1204","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1205","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1206","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1207","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1208","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1209","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1210","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1211","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1212","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1213","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1214","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1215","Sprinkler System","Average system","water pressure could be better."""""
"1216","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1217","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1218","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1219","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1220","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1221","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1222","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1223","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1224","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1225","Sprinkler System","Average system","water pressure could be better."""""
"1226","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1227","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1228","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1229","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1230","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1231","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1232","Compost Manure","Terrible quality manure","waste of money."""""
"1233","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1234","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1235","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1236","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1237","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1238","Sprinkler System","Average system","water pressure could be better."""""
"1239","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1240","Sprinkler System","Average system","water pressure could be better."""""
"1241","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1242","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1243","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1244","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1245","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1246","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1247","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1248","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1249","Sprinkler System","Average system","water pressure could be better."""""
"1250","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1251","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1252","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1253","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1254","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1255","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1256","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1257","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1258","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1259","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1260","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1261","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1262","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1263","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1264","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1265","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1266","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1267","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1268","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1269","Sprinkler System","Average system","water pressure could be better."""""
"1270","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1271","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1272","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1273","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1274","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1275","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1276","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1277","Sprinkler System","Average system","water pressure could be better."""""
"1278","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1279","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1280","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1281","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1282","Sprinkler System","Average system","water pressure could be better."""""
"1283","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1284","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1285","Sprinkler System","Average system","water pressure could be better."""""
"1286","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1287","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1288","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1289","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1290","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1291","Sprinkler System","Average system","water pressure could be better."""""
"1292","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1293","Sprinkler System","Average system","water pressure could be better."""""
"1294","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1295","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1296","Sprinkler System","Average system","water pressure could be better."""""
"1297","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1298","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1299","Sprinkler System","Average system","water pressure could be better."""""
"1300","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1301","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1302","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1303","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1304","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1305","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1306","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1307","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1308","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1309","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1310","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1311","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1312","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1313","Sprinkler System","Average system","water pressure could be better."""""
"1314","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1315","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1316","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1317","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1318","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1319","Sprinkler System","Average system","water pressure could be better."""""
"1320","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1321","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1322","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1323","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1324","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1325","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1326","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1327","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1328","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1329","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1330","Sprinkler System","Average system","water pressure could be better."""""
"1331","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1332","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1333","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1334","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1335","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1336","Sprinkler System","Average system","water pressure could be better."""""
"1337","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1338","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1339","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1340","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1341","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1342","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1343","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1344","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1345","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1346","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1347","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1348","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1349","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1350","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1351","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1352","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1353","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1354","Sprinkler System","Average system","water pressure could be better."""""
"1355","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1356","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1357","Sprinkler System","Average system","water pressure could be better."""""
"1358","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1359","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1360","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1361","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1362","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1363","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1364","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1365","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1366","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1367","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1368","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1369","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1370","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1371","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1372","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1373","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1374","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1375","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1376","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1377","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1378","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1379","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1380","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1381","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1382","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1383","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1384","Compost Manure","Terrible quality manure","waste of money."""""
"1385","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1386","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1387","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1388","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1389","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1390","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1391","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1392","Sprinkler System","Average system","water pressure could be better."""""
"1393","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1394","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1395","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1396","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1397","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1398","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1399","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1400","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1401","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1402","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1403","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1404","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1405","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1406","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1407","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1408","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1409","Sprinkler System","Average system","water pressure could be better."""""
"1410","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1411","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1412","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1413","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1414","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1415","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1416","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1417","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1418","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1419","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1420","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1421","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1422","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1423","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1424","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1425","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1426","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1427","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1428","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1429","Sprinkler System","Average system","water pressure could be better."""""
"1430","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1431","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1432","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1433","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1434","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1435","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1436","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1437","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1438","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1439","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1440","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1441","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1442","Sprinkler System","Average system","water pressure could be better."""""
"1443","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1444","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1445","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1446","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1447","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1448","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1449","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1450","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1451","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1452","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1453","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1454","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1455","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1456","Sprinkler System","Average system","water pressure could be better."""""
"1457","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1458","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1459","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1460","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1461","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1462","Sprinkler System","Average system","water pressure could be better."""""
"1463","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1464","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1465","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1466","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1467","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1468","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1469","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1470","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1471","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1472","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1473","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1474","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1475","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1476","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1477","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1478","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
