"id","product","review","category"
"399","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"400","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"401","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"402","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"403","Sprinkler System","Average system","water pressure could be better."""""
"404","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"405","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"406","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"407","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"408","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"409","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"410","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"411","Sprinkler System","Average system","water pressure could be better."""""
"412","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"413","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"414","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"415","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"416","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"417","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"418","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"419","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"420","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"421","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"422","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"423","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"424","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"425","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"426","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"427","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"428","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"429","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"430","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"431","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"432","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"433","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"434","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"435","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"436","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"437","Compost Manure","Terrible quality manure","waste of money."""""
"438","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"439","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"440","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"441","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"442","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"443","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"444","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"445","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"446","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"447","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"448","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"449","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"450","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"451","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"452","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"453","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"454","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"455","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"456","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"457","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"458","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"459","Compost Manure","Terrible quality manure","waste of money."""""
"460","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"461","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"462","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"463","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"464","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"465","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"466","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"467","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"468","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"469","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"470","Sprinkler System","Average system","water pressure could be better."""""
"471","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"472","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"473","Compost Manure","Terrible quality manure","waste of money."""""
"474","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"475","Sprinkler System","Average system","water pressure could be better."""""
"476","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"477","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"478","Compost Manure","Terrible quality manure","waste of money."""""
"479","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"480","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"481","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"482","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"483","Sprinkler System","Average system","water pressure could be better."""""
"484","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"485","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"486","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"487","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"488","Compost Manure","Terrible quality manure","waste of money."""""
"489","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"490","Sprinkler System","Average system","water pressure could be better."""""
"491","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"492","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"493","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"494","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"495","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"496","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"497","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"498","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"499","Sprinkler System","Average system","water pressure could be better."""""
"500","Compost Manure","Terrible quality manure","waste of money."""""
"501","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"502","Compost Manure","Terrible quality manure","waste of money."""""
"503","Compost Manure","Terrible quality manure","waste of money."""""
"504","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"505","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"506","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"507","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"508","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"509","Compost Manure","Terrible quality manure","waste of money."""""
"510","Compost Manure","Terrible quality manure","waste of money."""""
"511","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"512","Compost Manure","Terrible quality manure","waste of money."""""
"513","Compost Manure","Terrible quality manure","waste of money."""""
"514","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"515","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"516","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"517","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"518","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"519","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"520","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"521","Compost Manure","Terrible quality manure","waste of money."""""
"522","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"523","Compost Manure","Terrible quality manure","waste of money."""""
"524","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"525","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"526","Compost Manure","Terrible quality manure","waste of money."""""
"527","Sprinkler System","Average system","water pressure could be better."""""
"528","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"529","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"530","Compost Manure","Terrible quality manure","waste of money."""""
"531","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"532","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"533","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"534","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"535","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"536","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"537","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"538","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"539","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"540","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"541","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"542","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"543","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"544","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"545","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"546","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"547","Sprinkler System","Average system","water pressure could be better."""""
"548","Compost Manure","Terrible quality manure","waste of money."""""
"549","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"550","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"551","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"552","Compost Manure","Terrible quality manure","waste of money."""""
"553","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"554","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"555","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"556","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"557","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"558","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"559","Compost Manure","Terrible quality manure","waste of money."""""
"560","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"561","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"562","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"563","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"564","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"565","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"566","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"567","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"568","Sprinkler System","Average system","water pressure could be better."""""
"569","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"570","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"571","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"572","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"573","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"574","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"575","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"576","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"577","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"578","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"579","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"580","Compost Manure","Terrible quality manure","waste of money."""""
"581","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"582","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"583","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"584","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"585","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"586","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"587","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"588","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"589","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"590","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"591","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"592","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"593","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"594","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"595","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"596","Compost Manure","Terrible quality manure","waste of money."""""
"597","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"598","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"599","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"600","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"601","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"602","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"603","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"604","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"605","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"606","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"607","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"608","Compost Manure","Terrible quality manure","waste of money."""""
"609","Compost Manure","Terrible quality manure","waste of money."""""
"610","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"611","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"612","Compost Manure","Terrible quality manure","waste of money."""""
"613","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"614","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"615","Compost Manure","Terrible quality manure","waste of money."""""
"616","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"617","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"618","Compost Manure","Terrible quality manure","waste of money."""""
"619","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"620","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"621","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"622","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"623","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"624","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"625","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"626","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"627","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"628","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"629","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"630","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"631","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"632","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"633","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"634","Compost Manure","Terrible quality manure","waste of money."""""
"635","Sprinkler System","Average system","water pressure could be better."""""
"636","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"637","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"638","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"639","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"640","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"641","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"642","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"643","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"644","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"645","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"646","Sprinkler System","Average system","water pressure could be better."""""
"647","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"648","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"649","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"650","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"651","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"652","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"653","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"654","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"655","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"656","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"657","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"658","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"659","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"660","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"661","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"662","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"663","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"664","Compost Manure","Terrible quality manure","waste of money."""""
"665","Compost Manure","Terrible quality manure","waste of money."""""
"666","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"667","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"668","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"669","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"670","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"671","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"672","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"673","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"674","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"675","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"676","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"677","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"678","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"679","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"680","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"681","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"682","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"683","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"684","Compost Manure","Terrible quality manure","waste of money."""""
"685","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"686","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"687","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"688","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"689","Compost Manure","Terrible quality manure","waste of money."""""
"690","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"691","Compost Manure","Terrible quality manure","waste of money."""""
"692","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"693","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"694","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"695","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"696","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"697","Compost Manure","Terrible quality manure","waste of money."""""
"698","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"699","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"700","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"701","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"702","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"703","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"704","Compost Manure","Terrible quality manure","waste of money."""""
"705","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"706","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"707","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"708","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"709","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"710","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"711","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"712","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"713","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"714","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"715","Sprinkler System","Average system","water pressure could be better."""""
"716","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"717","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"718","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"719","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"720","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"721","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"722","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"723","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"724","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"725","Compost Manure","Terrible quality manure","waste of money."""""
"726","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"727","Compost Manure","Terrible quality manure","waste of money."""""
"728","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"729","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"730","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"731","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"732","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"733","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"734","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"735","Compost Manure","Terrible quality manure","waste of money."""""
"736","Sprinkler System","Average system","water pressure could be better."""""
"737","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"738","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"739","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"740","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"741","Compost Manure","Terrible quality manure","waste of money."""""
"742","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"743","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"744","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"745","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"746","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"747","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"748","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"749","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"750","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"751","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"752","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"753","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"754","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"755","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"756","Sprinkler System","Average system","water pressure could be better."""""
"757","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"758","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"759","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"760","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"761","Compost Manure","Terrible quality manure","waste of money."""""
"762","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"763","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"764","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"765","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"766","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"767","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"768","Sprinkler System","Average system","water pressure could be better."""""
"769","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"770","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"771","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"772","Sprinkler System","Average system","water pressure could be better."""""
"773","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"774","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"775","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"776","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"777","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"778","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"779","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"780","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"781","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"782","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"783","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"784","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"785","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"786","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"787","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"788","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"789","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"790","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"791","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"792","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"793","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"794","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"795","Water Pump","The pump broke down after 2 uses","very poor quality."""""
