"id","product","review","category"
"1324","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1325","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1326","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1327","Compost Manure","Terrible quality manure","waste of money."""""
"1328","Sprinkler System","Average system","water pressure could be better."""""
"1329","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1330","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1331","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1332","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1333","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1334","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1335","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1336","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1337","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1338","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1339","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1340","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1341","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1342","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1343","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1344","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1345","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1346","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1347","Compost Manure","Terrible quality manure","waste of money."""""
"1348","Sprinkler System","Average system","water pressure could be better."""""
"1349","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1350","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1351","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1352","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1353","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1354","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1355","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1356","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1357","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1358","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1359","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1360","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1361","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1362","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1363","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1364","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1365","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1366","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1367","Compost Manure","Terrible quality manure","waste of money."""""
"1368","Sprinkler System","Average system","water pressure could be better."""""
"1369","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1370","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1371","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1372","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1373","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1374","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1375","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1376","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1377","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1378","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1379","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1380","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1381","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1382","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1383","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1384","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1385","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1386","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1387","Compost Manure","Terrible quality manure","waste of money."""""
"1388","Sprinkler System","Average system","water pressure could be better."""""
"1389","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1390","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1391","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1392","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1393","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1394","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1395","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1396","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1397","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1398","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1399","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1400","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1401","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1402","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1403","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1404","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1405","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1406","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1407","Compost Manure","Terrible quality manure","waste of money."""""
"1408","Sprinkler System","Average system","water pressure could be better."""""
"1409","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1410","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1411","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1412","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1413","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1414","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1415","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1416","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1417","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1418","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1419","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1420","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1421","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1422","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1423","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1424","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1425","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1426","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1427","Compost Manure","Terrible quality manure","waste of money."""""
"1428","Sprinkler System","Average system","water pressure could be better."""""
"1429","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1430","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1431","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1432","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1433","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1434","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1435","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1436","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1437","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1438","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1439","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1440","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1441","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1442","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1443","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1444","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1445","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1446","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1447","Compost Manure","Terrible quality manure","waste of money."""""
"1448","Sprinkler System","Average system","water pressure could be better."""""
"1449","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1450","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1451","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1452","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1453","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1454","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1455","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1456","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1457","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1458","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1459","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1460","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1461","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1462","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1463","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1464","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1465","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1466","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1467","Compost Manure","Terrible quality manure","waste of money."""""
"1468","Sprinkler System","Average system","water pressure could be better."""""
"1469","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1470","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1471","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1472","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1473","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1474","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1475","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1476","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1477","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1478","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1479","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1480","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1481","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1482","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1483","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1484","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1485","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1486","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1487","Compost Manure","Terrible quality manure","waste of money."""""
"1488","Sprinkler System","Average system","water pressure could be better."""""
"1489","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1490","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1491","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1492","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1493","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1494","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1495","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1496","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1497","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1498","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1499","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1500","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1501","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1502","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1503","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1504","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1505","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1506","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1507","Compost Manure","Terrible quality manure","waste of money."""""
"1508","Sprinkler System","Average system","water pressure could be better."""""
"1509","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1510","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1511","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1512","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1513","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1514","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1515","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1516","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1517","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1518","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1519","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1520","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1521","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1522","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1523","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1524","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1525","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1526","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1527","Compost Manure","Terrible quality manure","waste of money."""""
"1528","Sprinkler System","Average system","water pressure could be better."""""
"1529","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1530","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1531","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1532","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1533","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1534","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1535","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1536","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1537","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1538","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1539","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1540","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1541","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1542","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1543","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1544","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1545","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1546","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1547","Compost Manure","Terrible quality manure","waste of money."""""
"1548","Sprinkler System","Average system","water pressure could be better."""""
"1549","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1550","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1551","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1552","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1553","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1554","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1555","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1556","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1557","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1558","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1559","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1560","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1561","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1562","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1563","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1564","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1565","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1566","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1567","Compost Manure","Terrible quality manure","waste of money."""""
"1568","Sprinkler System","Average system","water pressure could be better."""""
"1569","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1570","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1571","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1572","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1573","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1574","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1575","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1576","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1577","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1578","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1579","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1580","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1581","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1582","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1583","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1584","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1585","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1586","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1587","Compost Manure","Terrible quality manure","waste of money."""""
"1588","Sprinkler System","Average system","water pressure could be better."""""
"1589","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1590","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1591","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1592","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1593","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1594","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1595","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1596","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1597","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1598","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1599","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1600","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1601","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1602","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1603","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1604","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1605","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1606","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1607","Compost Manure","Terrible quality manure","waste of money."""""
"1608","Sprinkler System","Average system","water pressure could be better."""""
"1609","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1610","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1611","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1612","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1613","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1614","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1615","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1616","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1617","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1618","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1619","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1620","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1621","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1622","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1623","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1624","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1625","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1626","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1627","Compost Manure","Terrible quality manure","waste of money."""""
"1628","Sprinkler System","Average system","water pressure could be better."""""
"1629","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1630","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1631","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1632","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1633","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1634","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1635","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1636","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1637","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1638","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1639","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1640","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1641","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1642","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1643","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1644","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1645","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1646","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1647","Compost Manure","Terrible quality manure","waste of money."""""
"1648","Sprinkler System","Average system","water pressure could be better."""""
"1649","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1650","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1651","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1652","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1653","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1654","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1655","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1656","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1657","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1658","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1659","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1660","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1661","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1662","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1663","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1664","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1665","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1666","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1667","Compost Manure","Terrible quality manure","waste of money."""""
"1668","Sprinkler System","Average system","water pressure could be better."""""
"1669","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1670","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1671","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1672","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1673","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1674","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1675","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1676","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1677","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1678","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"1679","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"1680","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"1681","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"1682","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"1683","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"1684","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"1685","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"1686","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"1687","Compost Manure","Terrible quality manure","waste of money."""""
"1688","Sprinkler System","Average system","water pressure could be better."""""
"1689","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"1690","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"1691","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"1692","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"1693","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"1694","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"1695","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"1696","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"1697","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"1698","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
