"id","product","review","category"
"391","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"392","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"393","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"394","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"395","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"396","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"397","Sprinkler System","Average system","water pressure could be better."""""
"398","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"399","Compost Manure","Terrible quality manure","waste of money."""""
"400","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"401","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"402","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"403","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"404","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"405","Sprinkler System","Average system","water pressure could be better."""""
"406","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"407","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"408","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"409","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"410","Sprinkler System","Average system","water pressure could be better."""""
"411","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"412","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"413","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"414","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"415","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"416","Compost Manure","Terrible quality manure","waste of money."""""
"417","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"418","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"419","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"420","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"421","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"422","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"423","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"424","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"425","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"426","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"427","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"428","Sprinkler System","Average system","water pressure could be better."""""
"429","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"430","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"431","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"432","Sprinkler System","Average system","water pressure could be better."""""
"433","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"434","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"435","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"436","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"437","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"438","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"439","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"440","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"441","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"442","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"443","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"444","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"445","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"446","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"447","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"448","Sprinkler System","Average system","water pressure could be better."""""
"449","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"450","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"451","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"452","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"453","Sprinkler System","Average system","water pressure could be better."""""
"454","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"455","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"456","Sprinkler System","Average system","water pressure could be better."""""
"457","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"458","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"459","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"460","Compost Manure","Terrible quality manure","waste of money."""""
"461","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"462","Sprinkler System","Average system","water pressure could be better."""""
"463","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"464","Sprinkler System","Average system","water pressure could be better."""""
"465","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"466","Sprinkler System","Average system","water pressure could be better."""""
"467","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"468","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"469","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"470","Sprinkler System","Average system","water pressure could be better."""""
"471","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"472","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"473","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"474","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"475","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"476","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"477","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"478","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"479","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"480","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"481","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"482","Sprinkler System","Average system","water pressure could be better."""""
"483","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"484","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"485","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"486","Sprinkler System","Average system","water pressure could be better."""""
"487","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"488","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"489","Compost Manure","Terrible quality manure","waste of money."""""
"490","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"491","Sprinkler System","Average system","water pressure could be better."""""
"492","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"493","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"494","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"495","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"496","Sprinkler System","Average system","water pressure could be better."""""
"497","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"498","Sprinkler System","Average system","water pressure could be better."""""
"499","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"500","Sprinkler System","Average system","water pressure could be better."""""
"501","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"502","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"503","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"504","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"505","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"506","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"507","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"508","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"509","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"510","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"511","Sprinkler System","Average system","water pressure could be better."""""
"512","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"513","Sprinkler System","Average system","water pressure could be better."""""
"514","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"515","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"516","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"517","Sprinkler System","Average system","water pressure could be better."""""
"518","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"519","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"520","Sprinkler System","Average system","water pressure could be better."""""
"521","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"522","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"523","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"524","Sprinkler System","Average system","water pressure could be better."""""
"525","Sprinkler System","Average system","water pressure could be better."""""
"526","Sprinkler System","Average system","water pressure could be better."""""
"527","Sprinkler System","Average system","water pressure could be better."""""
"528","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"529","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"530","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"531","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"532","Compost Manure","Terrible quality manure","waste of money."""""
"533","Sprinkler System","Average system","water pressure could be better."""""
"534","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"535","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"536","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"537","Sprinkler System","Average system","water pressure could be better."""""
"538","Compost Manure","Terrible quality manure","waste of money."""""
"539","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"540","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"541","Sprinkler System","Average system","water pressure could be better."""""
"542","Sprinkler System","Average system","water pressure could be better."""""
"543","Sprinkler System","Average system","water pressure could be better."""""
"544","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"545","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"546","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"547","Sprinkler System","Average system","water pressure could be better."""""
"548","Tomato Seeds","Best tomato seeds I have ever used","great germination rate!"""""
"549","Sprinkler System","Average system","water pressure could be better."""""
"550","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"551","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"552","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"553","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"554","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"555","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"556","Sprinkler System","Average system","water pressure could be better."""""
"557","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"558","Sprinkler System","Average system","water pressure could be better."""""
"559","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"560","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"561","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"562","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"563","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"564","Sprinkler System","Average system","water pressure could be better."""""
"565","Compost Manure","Terrible quality manure","waste of money."""""
"566","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"567","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"568","Sprinkler System","Average system","water pressure could be better."""""
"569","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"570","Sprinkler System","Average system","water pressure could be better."""""
"571","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"572","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"573","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"574","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"575","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"576","Sprinkler System","Average system","water pressure could be better."""""
"577","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"578","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"579","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"580","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"581","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"582","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"583","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"584","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"585","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"586","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"587","Sprinkler System","Average system","water pressure could be better."""""
"588","Solar Water Pump","Amazing solar pump","saves electricity and works perfectly all day."""""
"589","Sprinkler System","Average system","water pressure could be better."""""
"590","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"591","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"592","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"593","Sprinkler System","Average system","water pressure could be better."""""
"594","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"595","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"596","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"597","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"598","Sprinkler System","Average system","water pressure could be better."""""
"599","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"600","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"601","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"602","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"603","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"604","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"605","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"606","Sprinkler System","Average system","water pressure could be better."""""
"607","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"608","Compost Manure","Terrible quality manure","waste of money."""""
"609","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"610","Sprinkler System","Average system","water pressure could be better."""""
"611","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"612","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"613","Sprinkler System","Average system","water pressure could be better."""""
"614","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"615","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"616","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"617","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"618","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"619","Sprinkler System","Average system","water pressure could be better."""""
"620","Sprinkler System","Average system","water pressure could be better."""""
"621","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"622","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"623","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"624","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"625","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"626","Sprinkler System","Average system","water pressure could be better."""""
"627","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"628","Sprinkler System","Average system","water pressure could be better."""""
"629","Compost Manure","Terrible quality manure","waste of money."""""
"630","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"631","Sprinkler System","Average system","water pressure could be better."""""
"632","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"633","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"634","Sprinkler System","Average system","water pressure could be better."""""
"635","Sprinkler System","Average system","water pressure could be better."""""
"636","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"637","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"638","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"639","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"640","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"641","Sprinkler System","Average system","water pressure could be better."""""
"642","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"643","Sprinkler System","Average system","water pressure could be better."""""
"644","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"645","Hybrid Rice Seeds","The rice seeds did not germinate properly","very disappointed."""""
"646","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"647","Sprinkler System","Average system","water pressure could be better."""""
"648","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"649","Sprinkler System","Average system","water pressure could be better."""""
"650","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"651","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"652","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"653","Sprinkler System","Average system","water pressure could be better."""""
"654","Soil Testing Kit","Good quality kit","easy to use and accurate results."""""
"655","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"656","Sprinkler System","Average system","water pressure could be better."""""
"657","Sprinkler System","Average system","water pressure could be better."""""
"658","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"659","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"660","Compost Manure","Terrible quality manure","waste of money."""""
"661","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"662","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"663","Sprinkler System","Average system","water pressure could be better."""""
"664","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"665","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"666","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"667","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"668","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"669","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"670","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"671","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"672","Sprinkler System","Average system","water pressure could be better."""""
"673","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"674","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"675","Sprinkler System","Average system","water pressure could be better."""""
"676","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"677","Sprinkler System","Average system","water pressure could be better."""""
"678","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"679","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"680","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"681","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"682","Sprinkler System","Average system","water pressure could be better."""""
"683","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"684","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"685","Sprinkler System","Average system","water pressure could be better."""""
"686","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"687","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"688","Sprinkler System","Average system","water pressure could be better."""""
"689","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"690","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"691","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"692","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"693","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"694","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"695","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"696","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"697","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"698","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"699","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"700","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"701","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"702","Potassium Fertilizer","Didn't see any improvement in crop growth at all.""""","fertilizer"
"703","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"704","Compost Manure","Terrible quality manure","waste of money."""""
"705","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"706","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"707","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"708","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"709","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"710","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"711","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"712","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"713","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"714","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"715","Sprinkler System","Average system","water pressure could be better."""""
"716","Sprinkler System","Average system","water pressure could be better."""""
"717","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"718","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"719","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"720","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"721","Sprinkler System","Average system","water pressure could be better."""""
"722","Compost Manure","Terrible quality manure","waste of money."""""
"723","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"724","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"725","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"726","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"727","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"728","Sprinkler System","Average system","water pressure could be better."""""
"729","Compost Manure","Terrible quality manure","waste of money."""""
"730","Sprinkler System","Average system","water pressure could be better."""""
"731","Compost Manure","Terrible quality manure","waste of money."""""
"732","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"733","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"734","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"735","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"736","Vegetable Seeds Mix","Great variety of seeds","all germinated well and grew strong!"""""
"737","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"738","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"739","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"740","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"741","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"742","Sprinkler System","Average system","water pressure could be better."""""
"743","Compost Manure","Terrible quality manure","waste of money."""""
"744","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"745","Organic Pesticide","Fantastic product! My farm is completely pest free now.""""","pesticide"
"746","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"747","Sprinkler System","Average system","water pressure could be better."""""
"748","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"749","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"750","Neem Oil Spray","Superb organic solution","completely eliminated pests without chemicals!"""""
"751","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"752","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"753","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"754","Sprinkler System","Average system","water pressure could be better."""""
"755","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"756","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"757","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"758","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"759","Sprinkler System","Average system","water pressure could be better."""""
"760","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"761","Sprinkler System","Average system","water pressure could be better."""""
"762","Crop Protection Net","Excellent protection from birds! Highly recommend to every farmer.""""","other"
"763","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"764","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"765","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"766","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"767","Sprinkler System","Average system","water pressure could be better."""""
"768","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"769","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"770","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"771","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"772","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"773","Paddy Seeds","Paddy seeds had very low germination. Extremely disappointed.""""","seeds"
"774","Greenhouse Net","Perfect greenhouse net","excellent build quality and easy to install."""""
"775","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"776","Bio Pesticide","Reasonably good performance for organic farming needs.""""","pesticide"
"777","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"778","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"779","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"780","Wheat Seeds","The wheat seeds gave an excellent yield this season","very happy!"""""
"781","Drip Tape","The drip tape leaked after one week","not worth the price."""""
"782","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"783","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"784","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"785","Water Pump","The pump broke down after 2 uses","very poor quality."""""
"786","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"787","Sprinkler System","Average system","water pressure could be better."""""
"788","Drip Irrigation Kit","Works okay","nothing special about the kit."""""
"789","Fertilizer NPK","The fertilizer completely burned my crops","total loss."""""
"790","Sprinkler System","Average system","water pressure could be better."""""
"791","DAP Fertilizer","Good fertilizer but the packaging was damaged on arrival.""""","fertilizer"
"792","Water Pump","The pump broke down after 2 uses","very poor quality."""""
